High,Low,Open,Close,Volume,Adj Close,Return,Date,Week_Number,Year,mean_return,volatility
176.8699951,174.3600006,175.3500061,176.6300049,1536400,174.2252808,1.757,2019/3/20,11,2019,-0.7448,1.69314137
175.8300018,173.6999969,174.3399963,175.1000061,1146300,172.716095,-0.866,2019/3/21,11,2019,-0.7448,1.69314137
172.7599945,169.1900024,172.1000061,169.8600006,1384000,167.5474396,-2.993,2019/3/22,11,2019,-0.7448,1.69314137
171.9199982,169.5599976,170.9700012,170,1349700,167.6855316,0.082,2019/3/25,12,2019,0.711,1.267751947
171.3000031,169.6900024,170.8899994,170.9799957,1408100,168.6521912,0.576,2019/3/26,12,2019,0.711,1.267751947
170.0500031,168.6900024,169.4600067,169.4799957,1821400,167.1726074,-0.877,2019/3/27,12,2019,0.711,1.267751947
173.8500061,170.7299957,170.9600067,173.6999969,1892500,171.335144,2.49,2019/3/28,12,2019,0.711,1.267751947
176.1000061,173.8800049,175.3500061,175.9299927,2158100,173.53479,1.284,2019/3/29,12,2019,0.711,1.267751947
178.1799927,176,176.8399963,176.5800018,1791900,174.1759491,0.369,2019/4/1,13,2019,0.9724,0.956199142
178.1799927,176.6900024,177.3300018,178.0200043,1179700,175.596344,0.815,2019/4/2,13,2019,0.9724,0.956199142
184.5299988,180.6300049,181.1499939,182.7400055,2379600,180.2521057,2.651,2019/4/3,13,2019,0.9724,0.956199142
184.0399933,182.4199982,183.5700073,183.8999939,1471400,181.3962708,0.635,2019/4/4,13,2019,0.9724,0.956199142
185.4299927,183.9799957,184.5899963,184.6199951,1403400,182.1064758,0.392,2019/4/5,13,2019,0.9724,0.956199142
185.9199982,184.1499939,185.8999939,184.8399963,1138500,182.3235016,0.119,2019/4/8,14,2019,-0.4654,0.629495671
185.0500031,182.75,185.0500031,182.8999939,1388200,180.4098969,-1.05,2019/4/9,14,2019,-0.4654,0.629495671
183.5899963,179.8200073,183.3899994,181.0200043,2443700,178.5554962,-1.028,2019/4/10,14,2019,-0.4654,0.629495671
181.8099976,179.7700043,181.6799927,179.8500061,1916400,177.4014282,-0.646,2019/4/11,14,2019,-0.4654,0.629495671
181.1300049,180.1399994,180.8000031,180.3500061,1914500,177.8946228,0.278,2019/4/12,14,2019,-0.4654,0.629495671
180.4299927,179.1399994,180.1399994,180.1399994,1448000,177.6874847,-0.116,2019/4/15,15,2019,0.00725,0.322714915
180.6799927,178.8000031,180.0800018,180.6199951,1749700,178.1609497,0.266,2019/4/16,15,2019,0.00725,0.322714915
181.8600006,179.3999939,180.6399994,179.9100037,1663300,177.4606323,-0.393,2019/4/17,15,2019,0.00725,0.322714915
180.7899933,179.6699982,180.1199951,180.3999939,1547300,177.943924,0.272,2019/4/18,15,2019,0.00725,0.322714915
180.8000031,178.8300018,179.8500061,178.8999939,1002100,176.4643402,-0.831,2019/4/22,16,2019,-0.2352,0.896008761
